country,province,top_ten,style,color,sweetness,points,price,count
Portugal,Alentejano,False,Varietal,Red,Bone-Dry,92,40,2
Argentina,Mendoza Province,True,Blend,Red,Dry,91,75,1
South Africa,Stellenbosch,False,Varietal,Red,Bone-Dry,86,18,1
United States of America,Washington,True,Varietal,Red,Bone-Dry,91,28,17
Argentina,Other,False,Varietal,Red,Sweet,84,20,2
Portugal,Douro,False,Varietal,Red,Sweet,89,27,1
United States of America,Washington,True,Varietal,Red,Sweet,89,28,6
Portugal,Alentejano,False,Varietal,Red,Dry,86,14,2
United States of America,Oregon,True,Varietal,Red,Dry,93,50,1
Chile,Maipo Valley,False,Blend,Red,Sweet,90,20,1
United States of America,Virginia,False,Varietal,,Bone-Dry,86,60,1
Portugal,Beira Atlantico,False,Varietal,,Bone-Dry,91,30,1
Italy,Piedmont,True,Varietal,Red,Bone-Dry,92,79,3
United States of America,California,True,Blend,White,Bone-Dry,90,85,1
Germany,Rheinhessen,False,Varietal,,Bone-Dry,90,60,1
France,Bordeaux,True,Blend,Red,Bone-Dry,93,50,4
Portugal,Lisboa,False,Blend,Red,Bone-Dry,86,15,2
United States of America,Washington,True,Blend,Red,Bone-Dry,96,85,2
Germany,Nahe,False,Varietal,White,Dry,93,39,1
France,Champagne,False,Sparkling,White,Sweet,93,140,1
Italy,Sicily & Sardinia,False,Blend,Red,Bone-Dry,93,19,2
Italy,Piedmont,True,Varietal,Rosé,Bone-Dry,90,30,1
United States of America,New York,True,Varietal,White,Bone-Dry,89,20,4
France,Burgundy,True,Varietal,White,Bone-Dry,88,56,3
Spain,Northern Spain,True,Blend,Red,Dry,91,50,2
France,Loire Valley,False,Sparkling,White,Dry,90,15,1
United States of America,California,True,Blend,,Sweet,92,42,1
Italy,Veneto,False,Varietal,Red,Sweet,90,26,1
Austria,Wachau,False,Varietal,White,Bone-Dry,89,19,1
Australia,South Australia,False,Varietal,Red,Bone-Dry,92,34,1
United States of America,Oregon,True,Varietal,White,Bone-Dry,85,24,1
United States of America,New York,True,Varietal,White,Dry,87,11,2
Australia,Tasmania,False,Sparkling,White,Dry,89,20,2
Italy,Veneto,False,Varietal,White,Sweet,87,14,2
United States of America,Washington,True,Varietal,,Bone-Dry,89,28,2
Spain,Andalucia,False,Varietal,,Sweet,90,30,2
France,Southwest France,False,Varietal,,Bone-Dry,91,17,1
France,Bordeaux,True,Blend,Red,Bone-Dry,94,120,4
Romania,Dealurile Munteniei,False,Blend,White,Bone-Dry,84,12,1
United States of America,Oregon,True,Varietal,Red,Bone-Dry,90,29,2
United States of America,California,True,Varietal,Red,Dry,90,24,16
Italy,Tuscany,True,Varietal,Red,Dry,87,165,1
Chile,Aconcagua Valley,False,Blend,Red,Dry,91,90,1
Canada,British Columbia,False,Varietal,White,Bone-Dry,92,27,1
United States of America,California,True,Varietal,Red,Bone-Dry,89,12,11
Italy,Sicily & Sardinia,False,Varietal,White,Sweet,88,38,1
United States of America,California,True,Varietal,Red,Bone-Dry,95,49,1
Italy,Veneto,False,Varietal,Red,Bone-Dry,84,16,2
Portugal,Alentejano,False,Varietal,Red,Bone-Dry,88,45,1
United States of America,New York,True,Varietal,White,Off-Dry,85,24,1
Chile,Maipo Valley,False,Varietal,Red,Bone-Dry,90,150,1
United States of America,California,True,Varietal,Red,Dry,90,34,6
United States of America,California,True,Varietal,,Bone-Dry,90,22,2
Chile,Maipo Valley,False,Blend,Red,Bone-Dry,86,11,1
South Africa,Stellenbosch,False,Blend,Red,Sweet,93,55,1
Chile,Elqui Valley,False,Varietal,White,Bone-Dry,86,10,1
Chile,Curicó Valley,False,Varietal,Red,Bone-Dry,89,21,1
United States of America,California,True,Varietal,Red,Bone-Dry,84,16,13
France,Burgundy,True,Varietal,Red,Dry,87,32,1
South Africa,Simonsberg-Stellenbosch,False,Varietal,Red,Bone-Dry,92,50,1
Portugal,Lisboa,False,Varietal,,Dry,86,9,1
Argentina,Other,False,Varietal,Red,Bone-Dry,84,20,4
Italy,Southern Italy,False,Varietal,Red,Bone-Dry,89,45,2
United States of America,California,True,Blend,White,Sweet,83,22,1
Hungary,Tokaj,False,Blend,White,Dry,88,25,1
Spain,Northern Spain,True,Blend,Red,Bone-Dry,92,25,3
United States of America,California,True,Blend,Red,Dry,92,69,2
Portugal,Port,False,Varietal,Red,Dry,86,20,2
Argentina,Mendoza Province,True,Varietal,White,Bone-Dry,87,10,3
United States of America,Washington,True,Varietal,Red,Dry,92,29,1
New Zealand,Hawke's Bay,False,Varietal,Red,Bone-Dry,90,17,1
Greece,Greece,False,Varietal,,Bone-Dry,83,18,1
Argentina,Other,False,Varietal,Red,Bone-Dry,93,100,2
Italy,Tuscany,True,Varietal,Red,Bone-Dry,88,24,4
Italy,Lombardy,False,Sparkling,White,Sweet,91,45,1
South Africa,Coastal Region,False,Blend,Red,Bone-Dry,85,35,1
Argentina,Mendoza Province,True,Varietal,White,Bone-Dry,88,20,4
Portugal,Tejo,False,Varietal,Rosé,Dry,84,18,1
New Zealand,Marlborough,False,Varietal,Red,Bone-Dry,88,32,2
Italy,Central Italy,False,Varietal,,Bone-Dry,86,29,2
Hungary,Villány,False,Blend,Red,Sweet,90,60,1
United States of America,California,True,Varietal,White,Sweet,87,37,1
United States of America,California,True,Varietal,Rosé,Dry,87,20,8
Austria,Kamptal,False,Varietal,White,Bone-Dry,90,26,1
United States of America,California,True,Varietal,Rosé,Bone-Dry,91,28,2
France,Alsace,False,Varietal,Rosé,Dry,89,20,2
Italy,Lombardy,False,Sparkling,Rosé,Bone-Dry,89,60,1
United States of America,California,True,Varietal,Red,Bone-Dry,92,47,5
